placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,3,100,Robust Scaler,"(None, 10, 10, 7)","(None, 1)",0.03464658930897713,0.1565631628036499,0.9886875152587891,0.9486271142959595
Dashboard,3,200,Robust Scaler,"(None, 20, 10, 7)","(None, 1)",0.021800266578793526,0.163267582654953,0.993626594543457,0.9689144492149353
Dashboard,3,300,Robust Scaler,"(None, 30, 10, 7)","(None, 1)",0.012911496683955193,0.0565260648727417,0.9966013431549072,0.9913063049316406
Dashboard,3,400,Robust Scaler,"(None, 40, 10, 7)","(None, 1)",0.008691509254276752,0.0488644614815712,0.9976851940155029,0.9876445531845093
Dashboard,3,500,Robust Scaler,"(None, 50, 10, 7)","(None, 1)",0.0373312346637249,0.03488598391413689,0.9884361028671265,0.9941306114196777
