placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.03893361613154411,0.22163675725460052,0.9871595501899719,0.9511182308197021
Above Suspension,3,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.11169371008872986,0.14533400535583496,0.9617594480514526,0.9594295024871826
Above Suspension,3,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.030736273154616356,0.05234431102871895,0.9910203218460083,0.986694872379303
Above Suspension,3,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.027197912335395813,0.03656876087188721,0.9934662580490112,0.9939806461334229
Above Suspension,3,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.026142695918679237,0.10144174098968506,0.9934657216072083,0.9784482717514038
