placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,1,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.06742793321609497,0.12254565954208374,0.9774980545043945,0.9509968757629395
Above Suspension,1,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.10878488421440125,0.13343216478824615,0.9610341191291809,0.9608240723609924
Above Suspension,1,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.022733742371201515,0.16823364794254303,0.9939950108528137,0.9717868566513062
Above Suspension,1,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.0490020252764225,0.1269519329071045,0.9861153960227966,0.9755406379699707
Above Suspension,1,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.023048704490065575,0.0394388809800148,0.9943033456802368,0.9884511828422546
