placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,1,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 1)",0.00877061951905489,0.7225702404975891,0.9974936842918396,0.9292234778404236
Above Suspension,1,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 1)",0.11131537705659866,0.20016682147979736,0.9910993576049805,0.9612165093421936
Above Suspension,1,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 1)",0.02444251999258995,0.10760609060525894,0.996389627456665,0.9786263704299927
Above Suspension,1,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 1)",0.014036836102604866,0.13822810351848602,0.9970769286155701,0.9821029305458069
Above Suspension,1,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 1)",0.0248990710824728,0.038594070822000504,0.9945207834243774,0.9895254969596863
