placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 1)",0.014415737241506577,0.35576850175857544,0.9960325956344604,0.9423715472221375
Above Suspension,3,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 1)",0.1497119516134262,0.30008459091186523,0.9754639863967896,0.9639296531677246
Above Suspension,3,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 1)",0.006352582015097141,0.13697367906570435,0.9981754422187805,0.9848049879074097
Above Suspension,3,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 1)",0.027034014463424683,0.04766344279050827,0.9951463341712952,0.9929510354995728
Above Suspension,3,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 1)",0.02290329709649086,0.03750275447964668,0.9959160685539246,0.9916544556617737
