placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,2,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.08096551150083542,0.15536047518253326,0.9718729853630066,0.9377166628837585
Above Suspension,2,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.055840302258729935,0.14256049692630768,0.981698751449585,0.943996787071228
Above Suspension,2,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.013177439570426941,0.16027389466762543,0.9964334964752197,0.9696394801139832
Above Suspension,2,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.08946463465690613,0.09687581658363342,0.9719011187553406,0.9765827655792236
Above Suspension,2,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.017270265147089958,0.18848562240600586,0.9957532286643982,0.9710918664932251
