placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.11774560064077377,0.16797152161598206,0.9582618474960327,0.9500110745429993
Above Suspension,3,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.018019411712884903,0.16269251704216003,0.995211660861969,0.9664220213890076
Above Suspension,3,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.023867549374699593,0.06442942470312119,0.9938108325004578,0.9860144853591919
Above Suspension,3,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.022158151492476463,0.036290593445301056,0.9937276244163513,0.9924758672714233
Above Suspension,3,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.03102000430226326,0.03457246720790863,0.9916602373123169,0.9930300712585449
