placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.1256415843963623,0.24920152127742767,0.9541783928871155,0.9275888204574585
Below Suspension,2,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.015538989566266537,0.251700758934021,0.9949721693992615,0.9420494437217712
Below Suspension,2,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.010822915472090244,0.1784842610359192,0.9974889159202576,0.9683257937431335
Below Suspension,2,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.031435076147317886,0.19980017840862274,0.9909505844116211,0.9654462337493896
Below Suspension,2,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.009579982608556747,0.17600436508655548,0.9978095889091492,0.9725330471992493
