placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,2,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 1)",0.12079291045665741,0.2255418747663498,0.9646108746528625,0.927209734916687
Above Suspension,2,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 1)",0.08111751824617386,0.1880064606666565,0.9830729961395264,0.9660220146179199
Above Suspension,2,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 1)",0.04133376479148865,0.09367550909519196,0.9960331916809082,0.9764997959136963
Above Suspension,2,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 1)",0.008860662579536438,0.2513890266418457,0.9977186322212219,0.9693363904953003
Above Suspension,2,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 1)",0.043680984526872635,0.07664363831281662,0.9884666800498962,0.9752458333969116
