placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 1)",0.05365142226219177,0.3095032274723053,0.9843648672103882,0.9157279133796692
Below Suspension,2,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 1)",0.05366272106766701,0.2060299962759018,0.985285222530365,0.9491673111915588
Below Suspension,2,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 1)",0.007139657158404589,0.15849412977695465,0.9981075525283813,0.9719018936157227
Below Suspension,2,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 1)",0.0192276481539011,2.069117546081543,0.9990874528884888,0.9621663093566895
Below Suspension,2,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 1)",0.014919517561793327,0.7582294940948486,0.9975860714912415,0.9593082666397095
