placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,1,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.06914575397968292,0.2015204280614853,0.9762862324714661,0.9420251846313477
Below Suspension,1,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.03301364183425903,0.19525396823883057,0.9898423552513123,0.9512099623680115
Below Suspension,1,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.02062888629734516,0.2344173938035965,0.9944002628326416,0.9737817049026489
Below Suspension,1,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.11730232834815979,0.15131603181362152,0.9622307419776917,0.9744966626167297
Below Suspension,1,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.015552379190921783,0.020513251423835754,0.9962167143821716,0.998030424118042
