placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,2,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.03650352358818054,0.2718760669231415,0.988835871219635,0.9289969801902771
Above Suspension,2,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.018224183470010757,0.21744319796562195,0.9948381185531616,0.9498388171195984
Above Suspension,2,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.015571665950119495,0.24966441094875336,0.9963971376419067,0.9721208810806274
Above Suspension,2,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.08955966681241989,0.07690038532018661,0.9707984924316406,0.977574348449707
Above Suspension,2,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.018601613119244576,0.11480966210365295,0.9944121837615967,0.9766022562980652
