placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,1,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.05562795326113701,0.420661985874176,0.9824832081794739,0.9399265646934509
Dashboard,1,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.038752663880586624,0.2517353892326355,0.9887213110923767,0.9454545378684998
Dashboard,1,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.014105132780969143,0.04948672279715538,0.9962791204452515,0.9922342300415039
Dashboard,1,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.011051062494516373,0.04169190302491188,0.9969230890274048,0.9876957535743713
Dashboard,1,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.009190555661916733,0.08223393559455872,0.9979561567306519,0.9818263053894043
