placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,2,100,Robust Scaler,"(None, 10, 10, 7)","(None, 1)",0.025646043941378593,0.28543224930763245,0.9917623996734619,0.9274263381958008
Dashboard,2,200,Robust Scaler,"(None, 20, 10, 7)","(None, 1)",0.01570204645395279,0.1678037941455841,0.9951732754707336,0.9619930386543274
Dashboard,2,300,Robust Scaler,"(None, 30, 10, 7)","(None, 1)",0.014361700974404812,0.10231472551822662,0.9964699149131775,0.9737264513969421
Dashboard,2,400,Robust Scaler,"(None, 40, 10, 7)","(None, 1)",0.03195488080382347,0.12448257207870483,0.9896958470344543,0.9743707180023193
Dashboard,2,500,Robust Scaler,"(None, 50, 10, 7)","(None, 1)",0.015416532754898071,0.18455247581005096,0.9970496296882629,0.9745676517486572
