placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,1,100,Robust Scaler,"(None, 10, 10, 7)","(None, 1)",0.01820245012640953,0.3283541202545166,0.9945741891860962,0.9413955807685852
Above Suspension,1,200,Robust Scaler,"(None, 20, 10, 7)","(None, 1)",0.016421955078840256,0.2191678285598755,0.9956855773925781,0.9662524461746216
Above Suspension,1,300,Robust Scaler,"(None, 30, 10, 7)","(None, 1)",0.0104080680757761,0.057272572070360184,0.9974579811096191,0.9874607920646667
Above Suspension,1,400,Robust Scaler,"(None, 40, 10, 7)","(None, 1)",0.04119981825351715,0.03377843275666237,0.9873461723327637,0.9925428628921509
Above Suspension,1,500,Robust Scaler,"(None, 50, 10, 7)","(None, 1)",0.02189573459327221,0.021774092689156532,0.9947816729545593,0.9978513717651367
