placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,3,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 1)",0.06546639651060104,0.3098689019680023,0.9793319702148438,0.9482395648956299
Below Suspension,3,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 1)",0.03791860118508339,0.30906060338020325,0.9920744895935059,0.967322051525116
Below Suspension,3,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 1)",0.023559220135211945,0.09141939878463745,0.9949914216995239,0.9857121109962463
Below Suspension,3,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 1)",0.01602749526500702,0.043444860726594925,0.9958183765411377,0.9874069094657898
Below Suspension,3,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 1)",0.017195388674736023,0.16936224699020386,0.9970767498016357,0.9712032079696655
