placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 10, 10, 7)","(None, 1)",0.09487257897853851,0.14962860941886902,0.9654996991157532,0.9491806626319885
Above Suspension,3,200,Robust Scaler,"(None, 20, 10, 7)","(None, 1)",0.026280779391527176,0.1488466113805771,0.9921075105667114,0.9676682353019714
Above Suspension,3,300,Robust Scaler,"(None, 30, 10, 7)","(None, 1)",0.009809824638068676,0.06600397825241089,0.9972094893455505,0.9920622706413269
Above Suspension,3,400,Robust Scaler,"(None, 40, 10, 7)","(None, 1)",0.03822332248091698,0.057354990392923355,0.988201916217804,0.9911293983459473
Above Suspension,3,500,Robust Scaler,"(None, 50, 10, 7)","(None, 1)",0.008772076107561588,0.021452557295560837,0.9978935718536377,0.9937637448310852
