placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,3,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.09622266888618469,0.19336500763893127,0.965955376625061,0.9464127421379089
Dashboard,3,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.07646173983812332,0.13250760734081268,0.9737467765808105,0.969329833984375
Dashboard,3,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.008999316021800041,0.06878609210252762,0.9974599480628967,0.9854097366333008
Dashboard,3,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.013505666516721249,0.040816232562065125,0.9966397881507874,0.9918422102928162
Dashboard,3,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.005726047791540623,0.10291115194559097,0.9986243844032288,0.9737710952758789
