placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,3,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 1)",0.0793965607881546,0.18422192335128784,0.9827364087104797,0.9503985643386841
Dashboard,3,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 1)",0.06275206804275513,0.24478140473365784,0.9821345806121826,0.9735530614852905
Dashboard,3,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 1)",0.021446971222758293,0.11555207520723343,0.9944189786911011,0.9876776337623596
Dashboard,3,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 1)",0.058214280754327774,0.04157352074980736,0.9934662580490112,0.9935054779052734
Dashboard,3,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 1)",0.06181655079126358,0.0277999434620142,0.9952712655067444,0.9966067671775818
