placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 100, 7)","(None, 1)",0.03033572994172573,0.29715996980667114,0.990135133266449,0.9389947056770325
Above Suspension,3,200,Robust Scaler,"(None, 200, 7)","(None, 1)",0.08286366611719131,0.13153085112571716,0.9711379408836365,0.9682220816612244
Above Suspension,3,300,Robust Scaler,"(None, 300, 7)","(None, 1)",0.012533382512629032,0.05465514212846756,0.9967443943023682,0.9853341579437256
Above Suspension,3,400,Robust Scaler,"(None, 400, 7)","(None, 1)",0.026266131550073624,0.07204067707061768,0.9924955368041992,0.9800412058830261
Above Suspension,3,500,Robust Scaler,"(None, 500, 7)","(None, 1)",0.009384957142174244,0.0454108864068985,0.9971197843551636,0.9861518740653992
