placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,Robust Scaler,"(None, 10, 10, 7)","(None, 1)",0.06647421419620514,0.1762012392282486,0.9777531027793884,0.9429700970649719
Below Suspension,2,200,Robust Scaler,"(None, 20, 10, 7)","(None, 1)",0.012595180422067642,0.2439073771238327,0.9959777593612671,0.9462798833847046
Below Suspension,2,300,Robust Scaler,"(None, 30, 10, 7)","(None, 1)",0.01648501493036747,0.2243337631225586,0.9958876371383667,0.9683257937431335
Below Suspension,2,400,Robust Scaler,"(None, 40, 10, 7)","(None, 1)",0.014300094917416573,0.11244137585163116,0.996235728263855,0.9771929979324341
Below Suspension,2,500,Robust Scaler,"(None, 50, 10, 7)","(None, 1)",0.010510541498661041,0.16529805958271027,0.9974966645240784,0.9678704738616943
