placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,1,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 1)",0.02466197870671749,0.2850259244441986,0.9931695461273193,0.9376705288887024
Below Suspension,1,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 1)",0.05403517559170723,0.1818993240594864,0.9863772392272949,0.9620667099952698
Below Suspension,1,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 1)",0.0166335366666317,0.08284357190132141,0.9962054491043091,0.9791250824928284
Below Suspension,1,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 1)",0.027769599109888077,0.04524586722254753,0.9944615364074707,0.9842654466629028
Below Suspension,1,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 1)",0.07345835119485855,0.05606561526656151,0.9810401797294617,0.9829901456832886
